Index,City Name,2018 city rank,2018 City Pop,State[c],2018 Metro Rank,Metro Name,2018 Metro Pop,Density score
0,New York,1,8398748,New York,1,New York,19979477,0.420368761
1,Los Angeles,2,3990456,California,2,Los Angeles,13291486,0.300226476
2,Chicago,3,2705994,Illinois,3,Chicago,9498716,0.284879977
3,Houston,4,2325502,Texas,5,Houston,6997384,0.332338771
4,Phoenix,5,1660272,Arizona,11,Phoenix,4857962,0.341763069
5,Philadelphia,6,1584138,Pennsylvania,8,Philadelphia,6096372,0.259849301
6,San Antonio,7,1532233,Texas,24,San Antonio,2518036,0.608503214
7,San Diego,8,1425976,California,17,San Diego,3343364,0.426509348
8,Dallas,9,1345047,Texas,4,Dallas,7539711,0.178395034
9,San Jose,10,1030119,California,35,San Jose,1999107,0.515289577
10,Austin,11,964254,Texas,30,Austin,2168316,0.444701787
11,Jacksonville,12,903889,Florida,40,Jacksonville,1534701,0.588967493
12,Columbus,14,892533,Ohio,32,Columbus,2106541,0.423696002
13,San Francisco,15,883305,California,12,San Francisco,4729484,0.186765618
14,Charlotte,16,872498,North Carolina,23,Charlotte,2569213,0.339597379
15,Indianapolis,17,867125,Indiana,34,Indianapolis,2048703,0.423255591
16,Seattle,18,744955,Washington,15,Seattle,3939363,0.189105447
17,Denver,19,716492,Colorado,19,Denver,2932415,0.24433513
18,Washington,20,702455,District of Columbia,6,Washington,6249950,0.112393699
19,Boston,21,694583,Massachusetts,10,Boston,4875390,0.142467167
20,El Paso,22,682669,Texas,68,El Paso,845553,0.807363938
21,Detroit,23,672662,Michigan,14,Detroit,4326442,0.155476948
22,Nashville,24,669053,Tennessee,36,Nashville,1930961,0.34648706
23,Portland,25,653115,Oregon,25,Portland,2478810,0.26347925
24,Memphis,26,650618,Tennessee,43,Memphis,1350620,0.481718026
25,Oklahoma City,27,649021,Oklahoma,41,Oklahoma City,1396445,0.464766604
26,Las Vegas,28,644644,Nevada,28,Las Vegas,2231647,0.288864682
27,Louisville,29,620118,Kentucky,45,Louisville,1297310,0.478002945
28,Baltimore,30,602495,Maryland,21,Baltimore,2802789,0.214962668
29,Milwaukee,31,592025,Wisconsin,39,Milwaukee,1576113,0.375623448
30,Albuquerque,32,560218,New Mexico,60,Albuquerque,915927,0.611640447
31,Tucson,33,545975,Arizona,53,Tucson,1039073,0.525444314
32,Fresno,34,530093,California,54,Fresno,994400,0.533078238
33,Sacramento,36,508529,California,26,Sacramento,2345210,0.216837298
34,Atlanta,37,498044,Georgia,9,Atlanta,5949951,0.083705563
35,Kansas City,38,491918,Missouri,31,Kansas City,2143651,0.22947672
36,Colorado Springs,39,472688,Colorado,79,Colorado Springs,738939,0.639684737
37,Miami,40,470914,Florida,7,Miami,6198782,0.075968795
38,Raleigh,41,469298,North Carolina,42,Raleigh,1362540,0.344428787
39,Omaha,42,468262,Nebraska,59,Omaha,942198,0.496988956
40,Virginia Beach,44,450189,Virginia,37,Virginia Beach,1728733,0.260415576
41,Minneapolis,46,425403,Minnesota,16,Minneapolis,3629190,0.117217065
42,Tulsa,47,400669,Oklahoma,55,Tulsa,993797,0.403169863
43,Tampa,49,392890,Florida,18,Tampa,3142663,0.125018177
44,New Orleans,50,391006,Louisiana,46,New Orleans,1270399,0.307782043
45,Wichita,51,389255,Kansas,90,Wichita,644888,0.603600935
46,Cleveland,52,383793,Ohio,33,Cleveland,2057009,0.186578182
47,Bakersfield,53,383579,California,62,Bakersfield,896764,0.42773684
48,Riverside,58,330063,California,13,Riverside,4622361,0.071405717
49,Corpus Christi,59,326554,Texas,119,Corpus Christi,452950,0.720949332
50,Lexington,60,323780,Kentucky,107,Lexington,516697,0.626634178
51,Stockton,61,311178,California,77,Stockton,752660,0.413437674
52,St. Louis,64,302838,Missouri,20,St. Louis,2805465,0.107945742
53,Cincinnati,65,302605,Ohio,29,Cincinnati,2190209,0.138162614
54,Pittsburgh,66,301048,Pennsylvania,27,Pittsburgh,2324743,0.129497325
55,Greensboro,67,294722,North Carolina,75,Greensboro,767711,0.383897065
56,Anchorage,68,291538,Alaska,135,Anchorage,399148,0.730400754
57,Lincoln,70,287401,Nebraska,155,Lincoln,334590,0.858964703
58,Orlando,71,285713,Florida,22,Orlando,2572692,0.111056046
59,Toledo,74,274975,Ohio,94,Toledo,602871,0.456109184
60,Durham,75,274291,North Carolina,97,Durham,575412,0.47668627
61,Fort Wayne,77,267633,Indiana,124,Fort Wayne,437631,0.611549456
62,Laredo,80,261639,Texas,175,Laredo,275910,0.948276612
63,Madison,81,258054,Wisconsin,86,Madison,660422,0.390741072
64,Buffalo,83,256304,New York,50,Buffalo,1130152,0.226787193
65,Lubbock,84,255885,Texas,159,Lubbock,319068,0.801976381
66,Reno,86,250998,Nevada,114,Reno,469764,0.534306588
67,Richmond,98,228783,Virginia,44,Richmond,1306172,0.175155339
68,Baton Rouge,99,221599,Louisiana,71,Baton Rouge,831310,0.266566022
69,Spokane,100,219190,Washington,99,Spokane,573493,0.382201701
70,Des Moines,101,216853,Iowa,88,Des Moines,655409,0.33086668
71,Modesto,104,215030,California,102,Modesto,549815,0.391095187
72,Birmingham,107,209880,Alabama,49,Birmingham,1151801,0.182218977
73,Oxnard,108,209877,California,67,Oxnard,850967,0.246633536
74,Fayetteville,109,209468,North Carolina,103,Fayetteville,549128,0.38145569
75,Rochester,111,206284,New York,51,Rochester,1071082,0.192594031
76,Salt Lake City,114,200591,Utah,47,Salt Lake City,1222540,0.164077249
77,Grand Rapids,115,200217,Michigan,52,Grand Rapids,1069405,0.187222801
78,Amarillo,116,199924,Texas,184,Amarillo,265947,0.751743768
79,Montgomery,119,198218,Alabama,144,Montgomery,373225,0.531095184
80,Akron,120,198006,Ohio,82,Akron,704845,0.280921337
81,Little Rock,121,197881,Arkansas,78,Little Rock,741104,0.267008409
82,Huntsville,122,197318,Alabama,117,Huntsville,462693,0.426455555
83,Augusta,123,196939,Georgia,93,Augusta,604167,0.32596782
84,Port St. Lucie,124,195248,Florida,111,Port St. Lucie,482040,0.405045224
85,Tallahassee,127,193551,Florida,140,Tallahassee,385145,0.502540602
86,Mobile,131,189572,Alabama,131,Mobile,413757,0.458172309
87,Cape Coral,132,189343,Florida,76,Cape Coral,754610,0.250915042
88,Shreveport,133,188987,Louisiana,125,Shreveport,436341,0.433117676
89,Knoxville,135,187500,Tennessee,63,Knoxville,883309,0.212269998
